group,home_team,away_team,date,one_zero,two_zero,three_zero,four_zero,four_one,two_one,three_one,three_two,four_two,four_three,zero_zero,one_one,two_two,three_three,four_four,zero_one,zero_two,zero_three,zero_four,one_two,one_three,one_four,two_three,two_four,three_four,home_real,away_real
E,Alemanha,Costa do Marfim,20/06,13.5613,11.3619,6.0767,2.4375,2.0213,9.4218,5.0391,2.0893,0.8381,0.2317,9.428,12.3454,3.9065,0.5775,0.048,6.7184,3.0349,0.8389,0.1739,4.8694,1.346,0.279,1.0798,0.2239,0.1197,,
E,Alemanha,Curaçao,14/06,8.1617,13.8172,15.1964,12.5349,6.2509,6.8904,7.5781,1.8895,1.5586,0.2591,2.7523,4.3905,1.718,0.3141,0.0323,1.0521,0.3156,0.0525,0.0065,1.0414,0.1731,0.0216,0.2856,0.0356,0.0392,,
E,Costa do Marfim,Equador,14/06,12.0815,3.229,0.5493,0.0701,0.062,2.8559,0.4858,0.2148,0.0274,0.0081,25.3697,11.7653,1.263,0.0633,0.0018,21.3588,9.6989,2.8594,0.6323,4.9496,1.4592,0.3227,0.3723,0.0823,0.014,,
E,Equador,Curaçao,20/06,21.6015,19.9578,12.0996,5.5016,1.6884,6.1249,3.7133,0.5698,0.2591,0.0265,12.4113,7.08,0.9398,0.0583,0.002,3.3583,0.5682,0.0581,0.0045,1.0335,0.1057,0.0081,0.0961,0.0074,0.0045,,
E,Curaçao,Costa do Marfim,25/06,4.8511,1.3744,0.2362,0.0304,0.0537,2.4228,0.4163,0.3669,0.0473,0.0278,10.8251,9.8809,2.1354,0.2156,0.0122,17.7528,16.0711,9.4432,4.1616,8.2847,4.868,2.1453,1.2547,0.553,0.095,,
F,Países Baixos,Japão,14/06,9.7446,6.272,2.5194,0.759,0.9467,7.823,3.1424,1.9597,0.5904,0.2455,9.3026,13.6481,4.8788,0.8148,0.0765,10.1094,6.7192,2.7936,0.8711,8.0971,3.3665,1.0497,2.0284,0.6325,0.2541,,
F,Tunísia,Países Baixos,25/06,7.3714,2.9465,0.7253,0.1339,0.1996,4.3931,1.0813,0.8061,0.1488,0.074,11.4167,12.5078,3.275,0.4006,0.0276,15.5045,12.0124,5.97,2.2253,8.8702,4.4084,1.6432,1.6276,0.6067,0.1493,,
F,Países Baixos,Suécia,20/06,8.688,9.4645,6.4972,3.3452,3.5784,10.1244,6.9502,3.7174,1.914,0.6825,4.9663,10.3355,5.4152,1.3256,0.1825,4.2709,2.5536,0.9105,0.2435,5.2589,1.8752,0.5015,1.9309,0.5164,0.3545,,
F,Tunísia,Japão,20/06,8.8122,2.8245,0.5648,0.0847,0.1062,3.5411,0.7081,0.4439,0.0666,0.0278,16.3012,12.4101,2.2198,0.1855,0.0087,19.075,12.3361,5.1553,1.6158,7.4005,3.0927,0.9693,0.9277,0.2908,0.0581,,
F,Japão,Suécia,25/06,12.3916,11.2291,6.482,2.8063,2.4388,9.7587,5.6332,2.4478,1.0597,0.307,8.0657,11.8474,4.2405,0.7091,0.0667,5.9312,2.828,0.8192,0.178,4.8973,1.4187,0.3082,1.2284,0.2669,0.1541,,
F,Suécia,Tunísia,14/06,12.4893,7.0864,2.5399,0.6827,0.7,7.2652,2.6039,1.3348,0.3588,0.1226,12.9506,14.2054,3.7242,0.4562,0.0314,11.8763,6.4426,2.2017,0.5643,6.9273,2.3673,0.6068,1.2727,0.3262,0.1169,,
