key_id,tournament_name,match_name,match_id,match_date,player_id,team_name,away_team,home_team,family_name,given_name,shirt_number,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,year
12,1930 FIFA Men's World Cup,Romania vs Peru,M-1930-04,1930-07-14,P-91295,Romania,0,1,Deşu,Adalbert,0,Romania,ROU,1',1,0,first half,0,0,1930
13,1930 FIFA Men's World Cup,Romania vs Peru,M-1930-04,1930-07-14,P-44010,Peru,1,0,Souza Ferreira,Luis,0,Peru,PER,75',75,0,second half,0,0,1930
14,1930 FIFA Men's World Cup,Romania vs Peru,M-1930-04,1930-07-14,P-18615,Romania,0,1,Stanciu,Constantin,0,Romania,ROU,79',79,0,second half,0,0,1930
15,1930 FIFA Men's World Cup,Romania vs Peru,M-1930-04,1930-07-14,P-70294,Romania,0,1,Kovács,Miklós,0,Romania,ROU,89',89,0,second half,0,0,1930
16,1930 FIFA Men's World Cup,Argentina vs France,M-1930-05,1930-07-15,P-25760,Argentina,0,1,Monti,Luis,0,Argentina,ARG,81',81,0,second half,0,0,1930
17,1930 FIFA Men's World Cup,Chile vs Mexico,M-1930-06,1930-07-16,P-61338,Chile,0,1,Vidal,Carlos,0,Chile,CHL,3',3,0,first half,0,0,1930
18,1930 FIFA Men's World Cup,Chile vs Mexico,M-1930-06,1930-07-16,P-89481,Chile,0,1,Rosas,Manuel,0,Mexico,MEX,52',52,0,second half,1,0,1930
19,1930 FIFA Men's World Cup,Chile vs Mexico,M-1930-06,1930-07-16,P-61338,Chile,0,1,Vidal,Carlos,0,Chile,CHL,65',65,0,second half,0,0,1930
20,1930 FIFA Men's World Cup,Serbia vs Bolivia,M-1930-07,1930-07-17,P-43734,Serbia,0,1,Bek,Ivan,0,Serbia,YUG,60',60,0,second half,0,0,1930
21,1930 FIFA Men's World Cup,Serbia vs Bolivia,M-1930-07,1930-07-17,P-75929,Serbia,0,1,Marjanović,Blagoje,0,Serbia,YUG,65',65,0,second half,0,0,1930
22,1930 FIFA Men's World Cup,Serbia vs Bolivia,M-1930-07,1930-07-17,P-43734,Serbia,0,1,Bek,Ivan,0,Serbia,YUG,67',67,0,second half,0,0,1930
23,1930 FIFA Men's World Cup,Serbia vs Bolivia,M-1930-07,1930-07-17,P-33565,Serbia,0,1,Vujadinović,Đorđe,0,Serbia,YUG,85',85,0,second half,0,0,1930
24,1930 FIFA Men's World Cup,United States vs Paraguay,M-1930-08,1930-07-17,P-71973,United States,0,1,Patenaude,Bert,0,United States,USA,10',10,0,first half,0,0,1930
25,1930 FIFA Men's World Cup,United States vs Paraguay,M-1930-08,1930-07-17,P-71973,United States,0,1,Patenaude,Bert,0,United States,USA,15',15,0,first half,0,0,1930
26,1930 FIFA Men's World Cup,United States vs Paraguay,M-1930-08,1930-07-17,P-71973,United States,0,1,Patenaude,Bert,0,United States,USA,50',50,0,second half,0,0,1930
27,1930 FIFA Men's World Cup,Uruguay vs Peru,M-1930-09,1930-07-18,P-54697,Uruguay,0,1,Castro,Héctor,0,Uruguay,URY,65',65,0,second half,0,0,1930
28,1930 FIFA Men's World Cup,Chile vs France,M-1930-10,1930-07-19,P-08459,Chile,0,1,Subiabre,Guillermo,0,Chile,CHL,67',67,0,second half,0,0,1930
29,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,8',8,0,first half,0,0,1930
30,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-76546,Argentina,0,1,Zumelzú,Adolfo,0,Argentina,ARG,12',12,0,first half,0,0,1930
31,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,17',17,0,first half,0,0,1930
32,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-89481,Mexico,1,0,Rosas,Manuel,0,Mexico,MEX,42',42,0,first half,0,1,1930
33,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-37326,Argentina,0,1,Varallo,Francisco,0,Argentina,ARG,53',53,0,second half,0,0,1930
34,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-76546,Argentina,0,1,Zumelzú,Adolfo,0,Argentina,ARG,55',55,0,second half,0,0,1930
35,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-89481,Mexico,1,0,Rosas,Manuel,0,Mexico,MEX,65',65,0,second half,0,0,1930
36,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-31066,Mexico,1,0,Gayón,Roberto,0,Mexico,MEX,75',75,0,second half,0,0,1930
37,1930 FIFA Men's World Cup,Argentina vs Mexico,M-1930-11,1930-07-19,P-56486,Argentina,0,1,Stábile,Guillermo,0,Argentina,ARG,80',80,0,second half,0,0,1930
38,1930 FIFA Men's World Cup,Brazil vs Bolivia,M-1930-12,1930-07-20,P-83987,Brazil,0,1,Moderato,not applicable,0,Brazil,BRA,37',37,0,first half,0,0,1930
39,1930 FIFA Men's World Cup,Brazil vs Bolivia,M-1930-12,1930-07-20,P-91171,Brazil,0,1,Preguinho,not applicable,0,Brazil,BRA,57',57,0,second half,0,0,1930
40,1930 FIFA Men's World Cup,Brazil vs Bolivia,M-1930-12,1930-07-20,P-83987,Brazil,0,1,Moderato,not applicable,0,Brazil,BRA,73',73,0,second half,0,0,1930
41,1930 FIFA Men's World Cup,Brazil vs Bolivia,M-1930-12,1930-07-20,P-91171,Brazil,0,1,Preguinho,not applicable,0,Brazil,BRA,83',83,0,second half,0,0,1930
42,1930 FIFA Men's World Cup,Paraguay vs Belgium,M-1930-13,1930-07-20,P-06201,Paraguay,0,1,Vargas Peña,Luis,0,Paraguay,PRY,40',40,0,first half,0,0,1930
43,1930 FIFA Men's World Cup,Uruguay vs Romania,M-1930-14,1930-07-21,P-38674,Uruguay,0,1,Dorado,Pablo,0,Uruguay,URY,7',7,0,first half,0,0,1930
