country,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018,2022
Algeria,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,6,6,13,13,13
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Argentina,18,20,20,20,20,25,27,31,31,40,55,63,77,82,90,100,102,113,122,129,135,150
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,13,16
Austria,0,7,7,7,23,25,25,25,25,25,31,36,36,38,38,41,41,41,41,41,41,41
Belgium,0,2,3,3,7,7,7,7,11,11,11,14,26,32,36,39,45,45,45,51,66,67
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
Brazil,5,6,20,42,50,66,80,84,103,109,119,134,144,148,159,172,190,200,209,220,228,236
Bulgaria,0,0,0,0,0,0,1,2,7,8,8,8,10,10,20,21,21,21,21,21,21,21
Cameroon,0,0,0,0,0,0,0,0,0,0,0,1,1,8,11,13,15,15,17,18,18,22
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chile,4,4,4,9,9,9,19,21,21,22,22,25,25,25,25,30,30,30,33,39,39,39
Colombia,0,0,0,0,0,0,5,5,5,5,5,5,5,9,13,14,14,14,14,26,32,32
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,12,12,17,18,21
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,15,15,20,33,41
Cuba,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
Czechoslovakia,0,9,14,14,14,23,30,30,32,32,32,34,34,44,44,44,44,44,44,44,44,44
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,19,24,24,27,27,30,31
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,10,10,14
Egypt,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5
El Salvador,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
England,0,0,0,2,10,14,19,30,34,34,34,39,46,54,54,61,67,72,75,77,89,102
France,4,6,10,10,12,35,35,37,37,37,42,58,70,70,70,84,84,93,94,102,114,130
Germany,0,11,13,13,37,49,53,68,85,102,112,124,132,147,156,163,177,190,206,224,226,232
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,13,18
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5
Haiti,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Honduras,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3
Hungary,0,5,19,19,46,53,61,68,68,68,71,83,85,85,85,85,85,85,85,85,85,85
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Iran,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,6,6,7,8,12
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10,10,10,10,10,10
Israel,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Italy,0,12,23,27,33,33,36,38,47,51,59,71,75,85,93,101,106,118,122,124,124,124
