group,home_team,away_team,home_score,away_score,probability
A,Mexico,Czech Republic,1,2,0.06112553
A,Mexico,Czech Republic,1,3,0.0186221
A,Mexico,Czech Republic,1,4,0.00425497
A,Mexico,Czech Republic,1,5,0.00077777
A,Mexico,Czech Republic,2,0,0.08363178
A,Mexico,Czech Republic,2,1,0.07643613
A,Mexico,Czech Republic,2,2,0.0349298
A,Mexico,Czech Republic,2,3,0.01064148
A,Mexico,Czech Republic,2,4,0.00243147
A,Mexico,Czech Republic,2,5,0.00044445
A,Mexico,Czech Republic,3,0,0.03186056
A,Mexico,Czech Republic,3,1,0.02911929
A,Mexico,Czech Republic,3,2,0.01330694
A,Mexico,Czech Republic,3,3,0.004054
A,Mexico,Czech Republic,3,4,0.0009263
A,Mexico,Czech Republic,3,5,0.00016932
A,Mexico,Czech Republic,4,0,0.00910326
A,Mexico,Czech Republic,4,1,0.00832002
A,Mexico,Czech Republic,4,2,0.00380208
A,Mexico,Czech Republic,4,3,0.00115832
A,Mexico,Czech Republic,4,4,0.00026466
A,Mexico,Czech Republic,4,5,4.838e-05
A,Mexico,Czech Republic,5,0,0.0020808
A,Mexico,Czech Republic,5,1,0.00190177
A,Mexico,Czech Republic,5,2,0.00086907
A,Mexico,Czech Republic,5,3,0.00026477
A,Mexico,Czech Republic,5,4,6.05e-05
A,Mexico,Czech Republic,5,5,1.106e-05
A,South Korea,South Africa,0,0,0.10950703
A,South Korea,South Africa,0,1,0.08469491
A,South Korea,South Africa,0,2,0.04046087
A,South Korea,South Africa,0,3,0.01195818
A,South Korea,South Africa,0,4,0.00265068
A,South Korea,South Africa,0,5,0.00047004
A,South Korea,South Africa,1,0,0.1365516
A,South Korea,South Africa,1,1,0.13347251
A,South Korea,South Africa,1,2,0.05625799
A,South Korea,South Africa,1,3,0.01662701
A,South Korea,South Africa,1,4,0.00368558
A,South Korea,South Africa,1,5,0.00065356
A,South Korea,South Africa,2,0,0.09950173
A,South Korea,South Africa,2,1,0.08822302
A,South Korea,South Africa,2,2,0.03911139
A,South Korea,South Africa,2,3,0.01155935
A,South Korea,South Africa,2,4,0.00256227
A,South Korea,South Africa,2,5,0.00045437
A,South Korea,South Africa,3,0,0.04611672
A,South Korea,South Africa,3,1,0.0408893
A,South Korea,South Africa,3,2,0.01812721
A,South Korea,South Africa,3,3,0.00535748
A,South Korea,South Africa,3,4,0.00118755
A,South Korea,South Africa,3,5,0.00021059
A,South Korea,South Africa,4,0,0.01603051
A,South Korea,South Africa,4,1,0.01421342
A,South Korea,South Africa,4,2,0.00630115
A,South Korea,South Africa,4,3,0.0018623
A,South Korea,South Africa,4,4,0.0004128
A,South Korea,South Africa,4,5,7.32e-05
A,South Korea,South Africa,5,0,0.00445786
A,South Korea,South Africa,5,1,0.00395255
A,South Korea,South Africa,5,2,0.00175226
A,South Korea,South Africa,5,3,0.00051788
A,South Korea,South Africa,5,4,0.00011479
A,South Korea,South Africa,5,5,2.036e-05
A,South Korea,Czech Republic,0,0,0.0933925
A,South Korea,Czech Republic,0,1,0.09498571
A,South Korea,Czech Republic,0,2,0.05967077
A,South Korea,Czech Republic,0,3,0.02333954
A,South Korea,Czech Republic,0,4,0.00684674
A,South Korea,Czech Republic,0,5,0.00160682
A,South Korea,Czech Republic,1,0,0.10383926
A,South Korea,Czech Republic,1,1,0.13644912
A,South Korea,Czech Republic,1,2,0.07611385
A,South Korea,Czech Republic,1,3,0.02977106
A,South Korea,Czech Republic,1,4,0.00873346
A,South Korea,Czech Republic,1,5,0.0020496
A,South Korea,Czech Republic,2,0,0.07051184
A,South Korea,Czech Republic,2,1,0.0827397
A,South Korea,Czech Republic,2,2,0.04854403
A,South Korea,Czech Republic,2,3,0.01898744
A,South Korea,Czech Republic,2,4,0.00557004
A,South Korea,Czech Republic,2,5,0.00130719
A,South Korea,Czech Republic,3,0,0.02998078
A,South Korea,Czech Republic,3,1,0.03517991
A,South Korea,Czech Republic,3,2,0.02064033
A,South Korea,Czech Republic,3,3,0.00807323
A,South Korea,Czech Republic,3,4,0.00236831
A,South Korea,Czech Republic,3,5,0.0005558
A,South Korea,Czech Republic,4,0,0.0095606
A,South Korea,Czech Republic,4,1,0.01121855
A,South Korea,Czech Republic,4,2,0.00658201
A,South Korea,Czech Republic,4,3,0.00257448
A,South Korea,Czech Republic,4,4,0.00075523
A,South Korea,Czech Republic,4,5,0.00017724
A,South Korea,Czech Republic,5,0,0.00243903
A,South Korea,Czech Republic,5,1,0.002862
A,South Korea,Czech Republic,5,2,0.00167916
A,South Korea,Czech Republic,5,3,0.00065678
A,South Korea,Czech Republic,5,4,0.00019267
A,South Korea,Czech Republic,5,5,4.522e-05
A,South Africa,Czech Republic,0,0,0.11178313
A,South Africa,Czech Republic,0,1,0.13331278
A,South Africa,Czech Republic,0,2,0.09326932
A,South Africa,Czech Republic,0,3,0.04142178
A,South Africa,Czech Republic,0,4,0.01379685
A,South Africa,Czech Republic,0,5,0.00367639
A,South Africa,Czech Republic,1,0,0.0903565
A,South Africa,Czech Republic,1,1,0.13600354
A,South Africa,Czech Republic,1,2,0.08613953
A,South Africa,Czech Republic,1,3,0.03825537
A,South Africa,Czech Republic,1,4,0.01274218
A,South Africa,Czech Republic,1,5,0.00339535
A,South Africa,Czech Republic,2,0,0.04481711
A,South Africa,Czech Republic,2,1,0.05971109
A,South Africa,Czech Republic,2,2,0.03977738
A,South Africa,Czech Republic,2,3,0.01766551
A,South Africa,Czech Republic,2,4,0.00588406
A,South Africa,Czech Republic,2,5,0.0015679
A,South Africa,Czech Republic,3,0,0.01379705
