group,home_team,away_team,date,home_real,away_real
A,México,África do Sul,11/06,,
A,Coreia do Sul,Tchéquia,11/06,,
B,Canadá,Bósnia e Herzegovina,12/06,,
D,EUA,Paraguai,12/06,,
C,Haiti,Escócia,13/06,,
D,Austrália,Turquia,13/06,,
C,Brasil,Marrocos,13/06,,
B,Catar,Suíça,13/06,,
E,Costa do Marfim,Equador,14/06,,
E,Alemanha,Curaçao,14/06,,
F,Países Baixos,Japão,14/06,,
F,Suécia,Tunísia,14/06,,
H,Arábia Saudita,Uruguai,15/06,,
H,Espanha,Cabo Verde,15/06,,
G,Irã,Nova Zelândia,15/06,,
G,Bélgica,Egito,15/06,,
I,França,Senegal,16/06,,
I,Iraque,Noruega,16/06,,
J,Argentina,Argélia,16/06,,
J,Áustria,Jordânia,16/06,,
L,Gana,Panamá,17/06,,
L,Inglaterra,Croácia,17/06,,
K,Portugal,República Democrática do Congo,17/06,,
K,Uzbequistão,Colômbia,17/06,,
A,Tchéquia,África do Sul,18/06,,
B,Suíça,Bósnia e Herzegovina,18/06,,
B,Canadá,Catar,18/06,,
A,México,Coreia do Sul,18/06,,
C,Brasil,Haiti,19/06,,
C,Escócia,Marrocos,19/06,,
D,Turquia,Paraguai,19/06,,
D,EUA,Austrália,19/06,,
E,Alemanha,Costa do Marfim,20/06,,
E,Equador,Curaçao,20/06,,
F,Países Baixos,Suécia,20/06,,
F,Tunísia,Japão,20/06,,
H,Uruguai,Cabo Verde,21/06,,
H,Espanha,Arábia Saudita,21/06,,
G,Bélgica,Irã,21/06,,
G,Nova Zelândia,Egito,21/06,,
I,Noruega,Senegal,22/06,,
I,França,Iraque,22/06,,
J,Argentina,Áustria,22/06,,
J,Jordânia,Argélia,22/06,,
L,Inglaterra,Gana,23/06,,
L,Panamá,Croácia,23/06,,
K,Portugal,Uzbequistão,23/06,,
K,Colômbia,República Democrática do Congo,23/06,,
C,Escócia,Brasil,24/06,,
C,Marrocos,Haiti,24/06,,
B,Suíça,Canadá,24/06,,
B,Bósnia e Herzegovina,Catar,24/06,,
A,Tchéquia,México,24/06,,
A,África do Sul,Coreia do Sul,24/06,,
E,Curaçao,Costa do Marfim,25/06,,
E,Equador,Alemanha,25/06,,
F,Japão,Suécia,25/06,,
F,Tunísia,Países Baixos,25/06,,
D,Turquia,EUA,25/06,,
D,Paraguai,Austrália,25/06,,
I,Noruega,França,26/06,,
I,Senegal,Iraque,26/06,,
G,Egito,Irã,26/06,,
G,Nova Zelândia,Bélgica,26/06,,
H,Cabo Verde,Arábia Saudita,26/06,,
H,Uruguai,Espanha,26/06,,
L,Panamá,Inglaterra,27/06,,
L,Croácia,Gana,27/06,,
J,Argélia,Áustria,27/06,,
J,Jordânia,Argentina,27/06,,
K,Colômbia,Portugal,27/06,,
K,República Democrática do Congo,Uzbequistão,27/06,,
