      3.23620618 	      1.54730982 	Germany
      1.44630284 	      1.60917035 	Saudi Arabia
      3.19698991 	      3.06556153 	Argentina
      1.74960870 	      1.79869344 	Australia
      2.71669861 	      2.13713200 	Belgium
      3.13161279 	      4.53955032 	Brazil
      1.89733232 	      1.87051475 	Cameroon
      1.61811551 	      1.22283221 	Canada
      1.46004492 	      1.13458519 	Qatar
      1.78393362 	      1.46664298 	South Korea
      1.10144866 	      0.98481608 	Costa Rica
      2.42465252 	      2.03143402 	Croatia
      2.36912863 	      2.53284057 	Denmark
      2.02682000 	      1.89644482 	Ecuador
      3.28323295 	      2.77575199 	Spain
      1.56539861 	      2.04630398 	United States
      3.53997669 	      2.48108114 	France
      1.54285761 	      1.14885760 	Ghana
      3.23144205 	      2.25836585 	Netherlands
      3.41614506 	      2.49446277 	England
      1.90578892 	      1.24540873 	Iran
      1.99173240 	      2.25830507 	Japan
      2.00172365 	      3.73177491 	Morocco
      1.38839115 	      1.85719958 	Mexico
      1.48710887 	      1.49478983 	Wales
      2.10949418 	      1.65547785 	Poland
      3.48078758 	      2.25714692 	Portugal
      1.73491529 	      1.64972640 	Senegal
      2.84214616 	      1.24757648 	Serbia
      2.45016809 	      1.60401667 	Switzerland
      1.65523659 	      3.04603420 	Tunisia
      1.69143919 	      2.41102356 	Uruguay
