141	0	0	217	736897	1
28	1	0	26	736910	1
183	0	3	126	736910	1
96	3	0	65	736921	1
7	0	0	72	736924	1
92	1	5	131	736924	1
96	1	0	65	736924	1
26	2	2	131	736926	1
211	1	1	9	736928	1
9	1	2	211	736931	1
26	0	0	65	736932	1
24	0	1	222	736935	1
26	0	2	65	736935	1
146	1	4	117	736935	1
234	3	1	38	736938	2.5
82	1	1	41	736939	1
95	4	0	115	736939	2.5
165	4	1	146	736939	2.5
146	2	0	95	736941	2.5
165	9	0	115	736941	2.5
170	1	2	186	736941	2.5
24	2	0	42	736941	2.5
83	1	1	117	736942	1
76	3	0	67	736942	1
122	2	0	222	736942	2.5
6	0	0	86	736943	3
197	1	2	241	736943	3
182	4	1	198	736943	3
174	2	0	54	736943	3
77	1	2	39	736943	3
50	0	2	90	736943	3
139	0	0	7	736943	3
14	2	1	143	736943	3
91	0	2	147	736943	3
19	2	0	225	736943	1
23	1	1	84	736943	1
134	0	1	140	736943	1
195	1	1	183	736943	1
104	2	1	189	736943	1
192	1	1	64	736943	1
237	2	0	72	736943	1
244	1	1	219	736943	1
115	1	1	146	736943	2.5
165	1	1	95	736943	2.5
170	4	0	42	736943	2.5
24	1	0	186	736943	2.5
69	0	0	227	736943	2.5
97	3	0	26	736943	2.5
130	1	1	190	736944	3
189	1	2	204	736944	3
4	1	0	129	736944	3
144	0	1	218	736944	3
201	0	0	167	736944	3
114	3	1	153	736944	3
21	0	0	135	736944	3
13	3	0	96	736944	1
230	2	0	149	736944	1
73	2	0	131	736944	1
60	2	0	63	736944	1
161	1	4	243	736944	1
49	1	0	202	736944	1
75	0	4	27	736944	1
55	1	1	159	736944	1
80	0	2	37	736944	1
246	1	2	56	736944	1
151	0	0	222	736944	2.5
9	0	5	98	736944	2.5
10	0	3	208	736944	2.5
28	4	0	22	736944	2.5
226	6	0	128	736945	3
124	1	2	78	736945	3
127	1	2	35	736945	3
85	1	0	107	736945	3
81	0	1	93	736945	3
32	5	0	210	736945	3
145	4	0	164	736945	3
38	1	0	234	736945	2.5
100	1	0	223	736945	2.5
57	1	1	44	736945	2.5
87	1	1	41	736945	2.5
88	1	1	12	736945	2.5
3	0	0	142	736945	2.5
160	2	0	40	736945	2.5
70	6	0	172	736945	2.5
169	1	1	250	736945	2.5
242	0	0	232	736945	2.5
186	3	0	42	736945	2.5
24	0	2	170	736945	2.5
213	0	2	171	736945	2.5
65	11	0	119	736945	2.5
166	1	2	71	736945	2.5
86	2	1	104	736946	3
241	1	0	76	736946	3
67	2	0	182	736946	3
39	1	0	174	736946	3
54	2	1	77	736946	3
90	1	0	139	736946	3
147	2	0	14	736946	3
143	2	0	91	736946	3
6	2	1	189	736946	1
140	0	0	177	736946	1
58	1	1	251	736946	2.5
203	1	2	62	736946	2.5
122	2	0	151	736946	2.5
34	0	5	200	736946	2.5
120	0	8	46	736946	2.5
17	3	1	30	736946	2.5
131	4	0	110	736946	2.5
209	1	0	191	736946	2.5
192	1	0	130	736947	3
225	2	3	189	736947	3
75	2	0	4	736947	3
167	2	0	144	736947	3
218	2	2	201	736947	3
7	1	1	50	736947	3
135	2	0	114	736947	3
153	1	1	21	736947	3
23	0	0	202	736947	1
45	1	3	149	736947	1
136	2	2	126	736947	1
195	2	1	219	736947	1
204	5	1	197	736947	1
11	2	2	33	736947	1
102	13	0	211	736947	2.5
66	10	0	92	736947	2.5
128	0	3	27	736948	3
78	6	0	64	736948	3
35	1	0	19	736948	3
107	2	1	93	736948	3
85	1	0	81	736948	3
210	0	3	145	736948	3
164	0	0	32	736948	3
56	0	0	13	736948	1
73	2	0	96	736948	1
124	1	0	226	736948	1
87	0	1	250	736948	1
123	1	0	159	736948	1
132	3	0	63	736948	2.5
134	0	0	177	736948	1
194	1	0	150	736948	1
60	0	0	53	736948	1
137	0	3	72	736948	1
141	1	2	173	736948	1
127	3	0	129	736948	1
184	0	2	246	736948	1
190	1	1	198	736948	1
49	3	0	183	736948	1
55	2	0	83	736948	1
80	1	0	161	736948	1
244	0	1	125	736948	1
211	0	3	94	736948	2.5
37	5	0	71	736949	1
122	3	1	186	736949	2.5
170	0	3	151	736949	2.5
151	2	1	122	736952	2.5
36	1	0	169	736967	1
213	1	1	26	736967	1
4	0	0	134	736977	1
123	3	0	162	736977	1
130	1	1	241	736977	1
82	0	0	194	736977	2.5
250	2	1	101	736977	2.5
190	2	3	192	736978	3
204	0	0	225	736978	3
129	2	1	75	736978	3
167	0	2	218	736978	3
144	1	2	201	736978	3
114	0	3	21	736978	3
135	3	1	153	736978	3
13	4	0	126	736978	1
23	0	1	219	736978	1
86	2	2	128	736978	1
105	1	1	72	736978	1
106	0	1	228	736978	1
136	1	0	140	736978	1
161	3	2	63	736978	1
189	0	0	35	736978	1
80	2	4	56	736978	1
