group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
J,Áustria,Jordânia,16/06,59.747,21.613,18.64,5.919,5.511,2.702,0.854,0.224,10.822,10.108,4.855,1.605,0.398,10.176,9.511,4.524,1.509,0.413,6.665,6.168,2.986,0.929,0.255,3.333,3.0,1.533,0.481,0.127
K,Colômbia,República Democrática do Congo,23/06,65.762,22.647,11.591,10.59,5.816,1.585,0.312,0.04,17.596,9.546,2.714,0.487,0.067,14.686,8.046,2.244,0.434,0.06,8.779,4.813,1.342,0.247,0.031,4.012,2.128,0.586,0.115,0.02
L,Panamá,Croácia,23/06,15.261,20.246,64.493,5.755,11.388,11.394,7.547,4.01,4.958,9.49,9.645,6.463,3.297,2.065,4.076,4.088,2.794,1.458,0.607,1.204,1.235,0.814,0.475,0.142,0.284,0.267,0.194,0.094
A,Tchéquia,África do Sul,18/06,42.215,25.595,32.19,7.134,8.616,5.471,2.103,0.705,10.034,12.033,7.14,3.054,0.982,7.156,8.47,5.262,2.125,0.709,3.592,4.167,2.536,1.027,0.321,1.402,1.666,0.959,0.422,0.126
B,Bósnia e Herzegovina,Catar,24/06,43.235,24.783,31.982,6.458,7.959,4.999,2.119,0.695,9.551,11.509,7.419,3.072,1.034,7.073,8.69,5.478,2.425,0.788,3.717,4.42,2.811,1.161,0.392,1.41,1.827,1.066,0.455,0.162
C,Haiti,Escócia,13/06,13.038,18.011,68.951,4.456,9.902,10.928,8.4,4.972,3.886,8.409,9.221,6.955,3.974,1.673,3.636,4.029,3.054,1.857,0.511,1.106,1.167,0.961,0.586,0.122,0.244,0.276,0.217,0.143
D,Turquia,Paraguai,19/06,36.104,27.917,35.979,9.899,11.246,6.512,2.736,0.803,11.131,12.847,7.431,2.905,0.899,6.628,7.633,4.374,1.797,0.547,2.631,2.996,1.726,0.722,0.217,0.833,0.889,0.533,0.201,0.067
E,Curaçao,Costa do Marfim,25/06,18.804,26.241,54.955,11.181,16.152,11.746,5.855,2.266,8.132,11.448,8.493,4.258,1.672,3.017,4.214,3.14,1.626,0.653,0.831,1.084,0.813,0.436,0.142,0.153,0.209,0.18,0.074,0.036
F,Suécia,Tunísia,14/06,40.578,26.533,32.889,8.429,9.736,5.574,2.243,0.713,10.878,12.429,7.286,2.871,0.876,7.277,8.376,4.729,1.911,0.587,3.268,3.781,2.109,0.853,0.269,1.166,1.296,0.758,0.291,0.085
G,Irã,Nova Zelândia,15/06,50.744,24.581,24.675,7.273,7.324,3.783,1.396,0.376,11.32,11.541,6.046,2.205,0.566,8.946,9.145,4.681,1.709,0.48,4.978,5.063,2.567,0.952,0.265,2.083,2.129,1.139,0.399,0.121
H,Cabo Verde,Arábia Saudita,26/06,28.725,30.683,40.592,13.919,15.006,8.469,3.164,0.895,11.979,13.226,7.174,2.702,0.75,5.226,5.899,3.122,1.286,0.377,1.6,1.715,0.931,0.395,0.11,0.373,0.442,0.22,0.083,0.019
I,Iraque,Noruega,16/06,11.835,17.512,70.653,4.679,10.284,11.557,8.885,5.25,3.692,8.109,9.315,6.948,4.122,1.467,3.34,3.746,2.849,1.713,0.422,0.977,1.055,0.854,0.472,0.086,0.203,0.228,0.199,0.117
J,Jordânia,Argélia,22/06,26.439,23.897,49.664,6.113,10.134,8.237,4.74,2.03,7.002,11.13,9.261,5.224,2.245,4.025,6.37,5.326,2.902,1.299,1.526,2.537,2.077,1.164,0.524,0.478,0.767,0.6,0.315,0.149
K,República Democrática do Congo,Uzbequistão,27/06,29.169,36.46,34.371,22.598,17.459,7.097,1.978,0.402,15.769,12.018,4.918,1.398,0.308,5.568,4.334,1.739,0.493,0.107,1.328,0.995,0.449,0.1,0.027,0.288,0.196,0.077,0.029,0.005
L,Gana,Panamá,17/06,29.83,24.297,45.873,5.791,9.041,7.313,4.034,1.709,7.056,11.206,8.905,4.896,2.143,4.459,7.078,5.719,3.171,1.319,1.965,3.001,2.394,1.37,0.539,0.708,0.957,0.784,0.434,0.185
