home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Equador,Espanha,14.615,31.695,53.69,20.035,22.745,13.445,5.347,1.606,9.095,10.212,5.94,2.419,0.705,2.058,2.346,1.372,0.508,0.172,0.324,0.402,0.236,0.069,0.015,0.041,0.058,0.03,0.007,0.007
Equador,Uruguai,29.862,39.671,30.467,27.239,17.83,5.973,1.323,0.25,17.367,11.145,3.662,0.864,0.168,5.82,3.779,1.219,0.278,0.046,1.315,0.853,0.257,0.065,0.006,0.203,0.142,0.036,0.019,0.003
Equador,Arábia Saudita,52.432,34.154,13.414,23.848,9.098,1.77,0.225,0.021,24.744,9.331,1.876,0.265,0.027,13.124,5.17,0.94,0.114,0.015,4.811,1.806,0.325,0.033,0.0,1.334,0.485,0.094,0.013,0.002
Equador,Cabo Verde,50.336,35.221,14.443,24.383,9.717,1.952,0.302,0.033,24.404,9.806,1.961,0.28,0.023,12.436,4.998,0.987,0.142,0.017,4.303,1.608,0.345,0.041,0.006,1.19,0.428,0.114,0.017,0.004
Equador,França,17.073,31.972,50.955,18.909,21.171,12.113,4.823,1.414,9.644,11.266,6.43,2.559,0.748,2.797,2.95,1.684,0.66,0.205,0.535,0.572,0.327,0.108,0.044,0.075,0.082,0.052,0.014,0.005
Equador,Senegal,34.626,34.654,30.72,19.452,14.96,6.094,1.757,0.36,16.128,12.781,4.975,1.402,0.297,7.166,5.688,2.215,0.576,0.118,2.076,1.593,0.658,0.198,0.033,0.465,0.394,0.171,0.042,0.008
Equador,Noruega,33.928,28.967,37.105,11.492,12.523,7.156,2.724,0.81,11.953,12.963,7.319,2.881,0.8,6.39,6.831,3.941,1.541,0.47,2.307,2.557,1.39,0.527,0.179,0.655,0.746,0.418,0.156,0.038
Equador,Iraque,62.435,26.852,10.713,16.324,6.689,1.397,0.192,0.018,22.569,9.046,1.869,0.277,0.04,15.978,6.631,1.379,0.197,0.022,7.479,3.117,0.666,0.1,0.008,2.826,1.173,0.246,0.041,0.003
Equador,Argentina,13.398,33.448,53.154,22.722,24.413,13.365,5.077,1.385,8.923,9.561,5.244,1.986,0.507,1.765,1.961,1.096,0.401,0.106,0.247,0.264,0.144,0.066,0.012,0.037,0.033,0.015,0.003,0.003
Equador,Áustria,35.977,34.106,29.917,18.668,14.463,5.828,1.482,0.338,16.378,12.881,5.168,1.395,0.299,7.464,5.807,2.337,0.603,0.152,2.294,1.809,0.748,0.211,0.043,0.571,0.406,0.19,0.05,0.009
Equador,Argélia,43.634,32.583,23.783,17.528,11.997,4.104,1.028,0.182,18.016,12.504,4.364,1.068,0.202,9.685,6.59,2.318,0.599,0.1,3.549,2.46,0.887,0.219,0.044,0.964,0.66,0.222,0.045,0.014
