versão,side,round_index,round_label,order,id,home_team,prob_home,away_team,prob_away,winner
Antes da Copa - pós data FIFA,right,1,Oitavas,27,RR4,Suíça,38.05,Colômbia,61.95,away
Antes da Copa - pós data FIFA,right,2,Quartas,28,QR1,Brasil,42.55,Inglaterra,57.45,away
Antes da Copa - pós data FIFA,right,2,Quartas,29,QR2,Argentina,62.2,Colômbia,37.8,home
Antes da Copa - pós data FIFA,right,3,Semifinal,30,SR,Inglaterra,45.26,Argentina,54.74,away
Antes da Copa - pós data FIFA,final,4,Final,31,F,Espanha,49.4,Argentina,50.6,away
Antes da Copa - pós data FIFA,terceiro,4,3º Lugar,32,T,França,47.35,Inglaterra,52.65,away
Após 1ª rodada da fase de grupos,left,0,R32,1,L1,Alemanha,78.85,Suécia,21.15,home
Após 1ª rodada da fase de grupos,left,0,R32,2,L2,França,76.74,Escócia,23.26,home
Após 1ª rodada da fase de grupos,left,0,R32,3,L3,Coreia do Sul,48.6,Canadá,51.4,away
Após 1ª rodada da fase de grupos,left,0,R32,4,L4,Holanda,47.1,Marrocos,52.9,away
Após 1ª rodada da fase de grupos,left,0,R32,5,L5,Portugal,62.91,Croácia,37.09,home
Após 1ª rodada da fase de grupos,left,0,R32,6,L6,Espanha,71.08,Áustria,28.92,home
Após 1ª rodada da fase de grupos,left,0,R32,7,L7,Austrália,75.85,Bósnia e Herzegovina,24.15,home
Após 1ª rodada da fase de grupos,left,0,R32,8,L8,Bélgica,55.25,Equador,44.75,home
Após 1ª rodada da fase de grupos,left,1,Oitavas,9,RL1,Alemanha,45.37,França,54.63,away
Após 1ª rodada da fase de grupos,left,1,Oitavas,10,RL2,Canadá,28.79,Marrocos,71.21,away
Após 1ª rodada da fase de grupos,left,1,Oitavas,11,RL3,Portugal,36.77,Espanha,63.23,away
Após 1ª rodada da fase de grupos,left,1,Oitavas,12,RL4,Austrália,47.39,Bélgica,52.61,away
Após 1ª rodada da fase de grupos,left,2,Quartas,13,QL1,França,54.57,Marrocos,45.43,home
Após 1ª rodada da fase de grupos,left,2,Quartas,14,QL2,Espanha,66.92,Bélgica,33.08,home
Após 1ª rodada da fase de grupos,left,3,Semifinal,15,SL,França,45.34,Espanha,54.66,away
Após 1ª rodada da fase de grupos,right,0,R32,16,R1,Brasil,52.19,Japão,47.81,home
Após 1ª rodada da fase de grupos,right,0,R32,17,R2,Costa do Marfim,24.26,Noruega,75.74,away
Após 1ª rodada da fase de grupos,right,0,R32,18,R3,México,57.09,Senegal,42.91,home
Após 1ª rodada da fase de grupos,right,0,R32,19,R4,Inglaterra,78.26,República Democrática do Congo,21.74,home
Após 1ª rodada da fase de grupos,right,0,R32,20,R5,Argentina,69.75,Uruguai,30.25,home
Após 1ª rodada da fase de grupos,right,0,R32,21,R6,EUA,57.9,Egito,42.1,home
Após 1ª rodada da fase de grupos,right,0,R32,22,R7,Suíça,69.43,Irã,30.57,home
Após 1ª rodada da fase de grupos,right,0,R32,23,R8,Colômbia,84.93,Gana,15.07,home
Após 1ª rodada da fase de grupos,right,1,Oitavas,24,RR1,Brasil,53.79,Noruega,46.21,home
Após 1ª rodada da fase de grupos,right,1,Oitavas,25,RR2,México,34.95,Inglaterra,65.05,away
Após 1ª rodada da fase de grupos,right,1,Oitavas,26,RR3,Argentina,82.3,EUA,17.7,home
Após 1ª rodada da fase de grupos,right,1,Oitavas,27,RR4,Suíça,36.24,Colômbia,63.76,away
Após 1ª rodada da fase de grupos,right,2,Quartas,28,QR1,Brasil,42.29,Inglaterra,57.71,away
Após 1ª rodada da fase de grupos,right,2,Quartas,29,QR2,Argentina,64.93,Colômbia,35.07,home
Após 1ª rodada da fase de grupos,right,3,Semifinal,30,SR,Inglaterra,41.41,Argentina,58.59,away
Após 1ª rodada da fase de grupos,final,4,Final,31,F,Espanha,45.33,Argentina,54.67,away
Após 1ª rodada da fase de grupos,terceiro,4,3º Lugar,32,T,França,49.71,Inglaterra,50.29,away
Após 2ª rodada da fase de grupos,left,0,R32,1,L1,Alemanha,75.74,Escócia,24.26,home
Após 2ª rodada da fase de grupos,left,0,R32,2,L2,França,79.44,Paraguai,20.56,home
Após 2ª rodada da fase de grupos,left,0,R32,3,L3,Coreia do Sul,33.28,Suíça,66.72,away
Após 2ª rodada da fase de grupos,left,0,R32,4,L4,Holanda,48.24,Marrocos,51.76,away
Após 2ª rodada da fase de grupos,left,0,R32,5,L5,Portugal,62.59,Croácia,37.41,home
Após 2ª rodada da fase de grupos,left,0,R32,6,L6,Espanha,75.16,Áustria,24.84,home
Após 2ª rodada da fase de grupos,left,0,R32,7,L7,EUA,62.85,Suécia,37.15,home
Após 2ª rodada da fase de grupos,left,0,R32,8,L8,Egito,42.92,Senegal,57.08,away
Após 2ª rodada da fase de grupos,left,1,Oitavas,9,RL1,Alemanha,43.8,França,56.2,away
Após 2ª rodada da fase de grupos,left,1,Oitavas,10,RL2,Suíça,37.2,Marrocos,62.8,away
Após 2ª rodada da fase de grupos,left,1,Oitavas,11,RL3,Portugal,33.59,Espanha,66.41,away
Após 2ª rodada da fase de grupos,left,1,Oitavas,12,RL4,EUA,53.45,Senegal,46.55,home
Após 2ª rodada da fase de grupos,left,2,Quartas,13,QL1,França,54.16,Marrocos,45.84,home
Após 2ª rodada da fase de grupos,left,2,Quartas,14,QL2,Espanha,79.03,EUA,20.97,home
Após 2ª rodada da fase de grupos,left,3,Semifinal,15,SL,França,43.89,Espanha,56.11,away
Após 2ª rodada da fase de grupos,right,0,R32,16,R1,Brasil,50.88,Japão,49.12,home
Após 2ª rodada da fase de grupos,right,0,R32,17,R2,Costa do Marfim,25.98,Noruega,74.02,away
Após 2ª rodada da fase de grupos,right,0,R32,18,R3,México,52.8,Uruguai,47.2,home
Após 2ª rodada da fase de grupos,right,0,R32,19,R4,Inglaterra,78.05,República Democrática do Congo,21.95,home
Após 2ª rodada da fase de grupos,right,0,R32,20,R5,Argentina,90.25,Cabo Verde,9.75,home
Após 2ª rodada da fase de grupos,right,0,R32,21,R6,Austrália,42.98,Bélgica,57.02,away
Após 2ª rodada da fase de grupos,right,0,R32,22,R7,Canadá,61.25,Irã,38.75,home
Após 2ª rodada da fase de grupos,right,0,R32,23,R8,Colômbia,85.11,Gana,14.89,home
Após 2ª rodada da fase de grupos,right,1,Oitavas,24,RR1,Brasil,58.12,Noruega,41.88,home
Após 2ª rodada da fase de grupos,right,1,Oitavas,25,RR2,México,36.76,Inglaterra,63.24,away
Após 2ª rodada da fase de grupos,right,1,Oitavas,26,RR3,Argentina,71.27,Bélgica,28.73,home
Após 2ª rodada da fase de grupos,right,1,Oitavas,27,RR4,Canadá,30.7,Colômbia,69.3,away
Após 2ª rodada da fase de grupos,right,2,Quartas,28,QR1,Brasil,44.06,Inglaterra,55.94,away
Após 2ª rodada da fase de grupos,right,2,Quartas,29,QR2,Argentina,67.48,Colômbia,32.52,home
Após 2ª rodada da fase de grupos,right,3,Semifinal,30,SR,Inglaterra,38.81,Argentina,61.19,away
Após 2ª rodada da fase de grupos,final,4,Final,31,F,Espanha,44.79,Argentina,55.21,away
Após 2ª rodada da fase de grupos,terceiro,4,3º Lugar,32,T,França,50.83,Inglaterra,49.17,home
